path,class,filename,is_valid,hash,split
/root/.cache/kagglehub/datasets/aureenblessingharazi/fibroid-ultrascans/versions/1/combinedataset/fibroid/Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11666400-812362045_jpg.rf.d3454d22a8798de3eaa5124298f0ba1e.jpg,fibroid,Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11666400-812362045_jpg.rf.d3454d22a8798de3eaa5124298f0ba1e.jpg,True,484e7140c59f4629a0261be56981465e,train
/root/.cache/kagglehub/datasets/aureenblessingharazi/fibroid-ultrascans/versions/1/combinedataset/non_fibroid/Uterine fibroid.v1i.yolov8_1-2-826-0-1-3680043-2-461-11582235-712277545_jpg.rf.b522a5b2f2cf1bddf74eabff47bf4d35.jpg,non_fibroid,Uterine fibroid.v1i.yolov8_1-2-826-0-1-3680043-2-461-11582235-712277545_jpg.rf.b522a5b2f2cf1bddf74eabff47bf4d35.jpg,True,cca7746ab0344696ea77901aecfc98ac,train
/root/.cache/kagglehub/datasets/aureenblessingharazi/fibroid-ultrascans/versions/1/combinedataset/fibroid/Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11604546-1535794028_jpg.rf.e85c2a708ecaab19c0af76c7e8fc880d.jpg,fibroid,Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11604546-1535794028_jpg.rf.e85c2a708ecaab19c0af76c7e8fc880d.jpg,True,489a3a93b46f9cc923305ab79dc22aca,train
/root/.cache/kagglehub/datasets/aureenblessingharazi/fibroid-ultrascans/versions/1/combinedataset/fibroid/Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11817902-1620622622_jpg.rf.47838986a3b7e35a6b627566a005171c.jpg,fibroid,Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11817902-1620622622_jpg.rf.47838986a3b7e35a6b627566a005171c.jpg,True,407d003058ed95db5a897e118cbd20b4,train
/root/.cache/kagglehub/datasets/aureenblessingharazi/fibroid-ultrascans/versions/1/combinedataset/fibroid/Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11522629-1084597582_jpg.rf.1d5b6c83be75911c13cfb32e302dac3b.jpg,fibroid,Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11522629-1084597582_jpg.rf.1d5b6c83be75911c13cfb32e302dac3b.jpg,True,3fb4fa92c8e188c8be44845b271d1992,train
/root/.cache/kagglehub/datasets/aureenblessingharazi/fibroid-ultrascans/versions/1/combinedataset/fibroid/Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11907616-1001164323_jpg.rf.a4e35a3290e7be401cb55fc3ec845da6.jpg,fibroid,Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11907616-1001164323_jpg.rf.a4e35a3290e7be401cb55fc3ec845da6.jpg,True,abeb447710c1a7cf9713660914e9c7b1,train
/root/.cache/kagglehub/datasets/aureenblessingharazi/fibroid-ultrascans/versions/1/combinedataset/fibroid/Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11491950-2109202227_jpg.rf.89fa399a23db0ec3fc72db40e77ddd3c.jpg,fibroid,Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11491950-2109202227_jpg.rf.89fa399a23db0ec3fc72db40e77ddd3c.jpg,True,4707a02746ff54e468f647ee7b9fcef0,train
/root/.cache/kagglehub/datasets/aureenblessingharazi/fibroid-ultrascans/versions/1/combinedataset/fibroid/Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11688467-1733292510_jpg.rf.54afc7a612b488e4290eeb3bd8671df4_copy14.jpg,fibroid,Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11688467-1733292510_jpg.rf.54afc7a612b488e4290eeb3bd8671df4_copy14.jpg,True,7b4454cb4aa18d0d4352889dfd632e8d,train
/root/.cache/kagglehub/datasets/aureenblessingharazi/fibroid-ultrascans/versions/1/combinedataset/fibroid/Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11782792-2102445965_jpg.rf.90c034420b7ac65afa379b3e653abd51.jpg,fibroid,Uterine fibroid dataset_1-2-826-0-1-3680043-2-461-11782792-2102445965_jpg.rf.90c034420b7ac65afa379b3e653abd51.jpg,True,ff076cda46294abef938df21369b05e7,train
/root/.cache/kagglehub/datasets/aureenblessingharazi/fibroid-ultrascans/versions/1/combinedataset/non_fibroid/Uterine fibroid.v1i.yolov8_1-2-826-0-1-3680043-2-461-11582265-258072319_jpg.rf.cc0df77c64384e40a58d47cc4817cd8a.jpg,non_fibroid,Uterine fibroid.v1i.yolov8_1-2-826-0-1-3680043-2-461-11582265-258072319_jpg.rf.cc0df77c64384e40a58d47cc4817cd8a.jpg,True,63ab8c5f2ace2ddd74fcba94e5a6a8fa,train
/root/.cache/kagglehub/datasets/aureenblessingharazi/fibroid-ultrascans/versions/1/combinedataset/fibroid/Uterine fibroid.v1i.yolov8_1-2-826-0-1-3680043-2-461-12208634-2644317637_jpg.rf.22867303c73b1dfd3cda69e9def70c5a.jpg,fibroid,Uterine fibroid.v1i.yolov8_1-2-826-0-1-3680043-2-461-12208634-2644317637_jpg.rf.22867303c73b1dfd3cda69e9def70c5a.jpg,True,dfc98b9e42417b9e34d58a74229669bc,train
